n,grp,estimate,p.value,mntc_distinv,mntc_tier2
5,x15342y52431,-0.3999999999999999,0.5166666666666667,0.30000000000000004,"(-0.001,0.5]"
5,x15342y53124,-0.5999999999999999,0.35,0.19999999999999996,"(-0.001,0.5]"
5,x15342y53142,-0.19999999999999996,0.7833333333333333,0.5,"(-0.001,0.5]"
5,x15342y53214,-0.6999999999999998,0.23333333333333334,0.17500000000000004,"(-0.001,0.5]"
5,x15342y53241,-0.09999999999999998,0.95,0.5249999999999999,"(0.5,1]"
5,x15342y53412,-0.4999999999999999,0.45,0.2749999999999999,"(-0.001,0.5]"
5,x15342y53421,-0.29999999999999993,0.6833333333333333,0.32499999999999996,"(-0.001,0.5]"
5,x15342y54123,-0.29999999999999993,0.6833333333333333,0.375,"(-0.001,0.5]"
5,x15342y54132,-0.09999999999999998,0.95,0.5249999999999999,"(0.5,1]"
5,x15342y54213,-0.3999999999999999,0.5166666666666667,0.3500000000000001,"(-0.001,0.5]"
5,x15342y54231,0,1,0.55,"(0.5,1]"
5,x15342y54312,-0.29999999999999993,0.6833333333333333,0.4750000000000001,"(-0.001,0.5]"
5,x15342y54321,-0.09999999999999998,0.95,0.5249999999999999,"(0.5,1]"
5,x15423y12345,0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x15423y12354,0,1,0.30000000000000004,"(-0.001,0.5]"
5,x15423y12435,0.29999999999999993,0.6833333333333333,0.42500000000000004,"(-0.001,0.5]"
5,x15423y12453,0.09999999999999998,0.95,0.4750000000000001,"(-0.001,0.5]"
5,x15423y12534,0.3999999999999999,0.5166666666666667,0.3999999999999999,"(-0.001,0.5]"
5,x15423y12543,0.29999999999999993,0.6833333333333333,0.42500000000000004,"(-0.001,0.5]"
5,x15423y13245,0.19999999999999996,0.7833333333333333,0.30000000000000004,"(-0.001,0.5]"
5,x15423y13254,0.09999999999999998,0.95,0.32499999999999996,"(-0.001,0.5]"
5,x15423y13425,0.5999999999999999,0.35,0.6000000000000001,"(0.5,1]"
5,x15423y13452,0.29999999999999993,0.6833333333333333,0.5249999999999999,"(0.5,1]"
5,x15423y13524,0.6999999999999998,0.23333333333333334,0.575,"(0.5,1]"
5,x15423y13542,0.4999999999999999,0.45,0.4750000000000001,"(-0.001,0.5]"
5,x15423y14235,0.4999999999999999,0.45,0.4750000000000001,"(-0.001,0.5]"
5,x15423y14253,0.29999999999999993,0.6833333333333333,0.5249999999999999,"(0.5,1]"
5,x15423y14325,0.6999999999999998,0.23333333333333334,0.625,"(0.5,1]"
5,x15423y14352,0.3999999999999999,0.5166666666666667,0.55,"(0.5,1]"
5,x15423y14523,0.8999999999999998,0.08333333333333333,0.7749999999999999,"(0.5,1]"
5,x15423y14532,0.7999999999999998,0.13333333333333333,0.6499999999999999,"(0.5,1]"
5,x15423y15234,0.6999999999999998,0.23333333333333334,0.675,"(0.5,1]"
5,x15423y15243,0.5999999999999999,0.35,0.7,"(0.5,1]"
5,x15423y15324,0.8999999999999998,0.08333333333333333,0.825,"(0.5,1]"
5,x15423y15342,0.6999999999999998,0.23333333333333334,0.7250000000000001,"(0.5,1]"
5,x15423y15423,0.9999999999999998,0.016666666666666666,1,"(0.5,1]"
5,x15423y15432,0.8999999999999998,0.08333333333333333,0.875,"(0.5,1]"
5,x15423y21345,-0.29999999999999993,0.6833333333333333,0.125,"(-0.001,0.5]"
5,x15423y21354,-0.3999999999999999,0.5166666666666667,0.1499999999999999,"(-0.001,0.5]"
5,x15423y21435,-0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x15423y21453,-0.29999999999999993,0.6833333333333333,0.32499999999999996,"(-0.001,0.5]"
5,x15423y21534,0,1,0.25,"(-0.001,0.5]"
5,x15423y21543,-0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x15423y23145,-0.09999999999999998,0.95,0.17500000000000004,"(-0.001,0.5]"
5,x15423y23154,-0.19999999999999996,0.7833333333333333,0.19999999999999996,"(-0.001,0.5]"
5,x15423y23415,0.4999999999999999,0.45,0.5249999999999999,"(0.5,1]"
5,x15423y23451,0.09999999999999998,0.95,0.42500000000000004,"(-0.001,0.5]"
5,x15423y23514,0.5999999999999999,0.35,0.5,"(-0.001,0.5]"
5,x15423y23541,0.29999999999999993,0.6833333333333333,0.375,"(-0.001,0.5]"
5,x15423y24135,0.19999999999999996,0.7833333333333333,0.3500000000000001,"(-0.001,0.5]"
5,x15423y24153,0,1,0.3999999999999999,"(-0.001,0.5]"
5,x15423y24315,0.5999999999999999,0.35,0.55,"(0.5,1]"
5,x15423y24351,0.19999999999999996,0.7833333333333333,0.44999999999999996,"(-0.001,0.5]"
5,x15423y24513,0.7999999999999998,0.13333333333333333,0.7,"(0.5,1]"
5,x15423y24531,0.5999999999999999,0.35,0.55,"(0.5,1]"
5,x15423y25134,0.3999999999999999,0.5166666666666667,0.55,"(0.5,1]"
5,x15423y25143,0.29999999999999993,0.6833333333333333,0.575,"(0.5,1]"
5,x15423y25314,0.7999999999999998,0.13333333333333333,0.75,"(0.5,1]"
5,x15423y25341,0.4999999999999999,0.45,0.625,"(0.5,1]"
5,x15423y25413,0.8999999999999998,0.08333333333333333,0.925,"(0.5,1]"
5,x15423y25431,0.6999999999999998,0.23333333333333334,0.7749999999999999,"(0.5,1]"
5,x15423y31245,-0.5999999999999999,0.35,0,"(-0.001,0.5]"
5,x15423y31254,-0.6999999999999998,0.23333333333333334,0.025000000000000022,"(-0.001,0.5]"
5,x15423y31425,-0.19999999999999996,0.7833333333333333,0.30000000000000004,"(-0.001,0.5]"
5,x15423y31452,-0.4999999999999999,0.45,0.2250000000000001,"(-0.001,0.5]"
5,x15423y31524,-0.09999999999999998,0.95,0.2749999999999999,"(-0.001,0.5]"
5,x15423y31542,-0.29999999999999993,0.6833333333333333,0.17500000000000004,"(-0.001,0.5]"
5,x15423y32145,-0.4999999999999999,0.45,0.025000000000000022,"(-0.001,0.5]"
5,x15423y32154,-0.5999999999999999,0.35,0.050000000000000044,"(-0.001,0.5]"
5,x15423y32415,0.09999999999999998,0.95,0.375,"(-0.001,0.5]"
5,x15423y32451,-0.29999999999999993,0.6833333333333333,0.2749999999999999,"(-0.001,0.5]"
5,x15423y32514,0.19999999999999996,0.7833333333333333,0.3500000000000001,"(-0.001,0.5]"
5,x15423y32541,-0.09999999999999998,0.95,0.2250000000000001,"(-0.001,0.5]"
5,x15423y34125,0.09999999999999998,0.95,0.375,"(-0.001,0.5]"
5,x15423y34152,-0.19999999999999996,0.7833333333333333,0.30000000000000004,"(-0.001,0.5]"
5,x15423y34215,0.29999999999999993,0.6833333333333333,0.42500000000000004,"(-0.001,0.5]"
5,x15423y34251,-0.09999999999999998,0.95,0.32499999999999996,"(-0.001,0.5]"
5,x15423y34512,0.5999999999999999,0.35,0.6000000000000001,"(0.5,1]"
5,x15423y34521,0.4999999999999999,0.45,0.575,"(0.5,1]"
5,x15423y35124,0.29999999999999993,0.6833333333333333,0.575,"(0.5,1]"
5,x15423y35142,0.09999999999999998,0.95,0.4750000000000001,"(-0.001,0.5]"
5,x15423y35214,0.4999999999999999,0.45,0.625,"(0.5,1]"
5,x15423y35241,0.19999999999999996,0.7833333333333333,0.5,"(-0.001,0.5]"
5,x15423y35412,0.6999999999999998,0.23333333333333334,0.825,"(0.5,1]"
5,x15423y35421,0.5999999999999999,0.35,0.8,"(0.5,1]"
5,x15423y41235,-0.6999999999999998,0.23333333333333334,0.025000000000000022,"(-0.001,0.5]"
5,x15423y41253,-0.8999999999999998,0.08333333333333333,0.07499999999999996,"(-0.001,0.5]"
